attacked_text,attack_model_output,num_queries,improvement
"This movie is such a fined instance of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard crap and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0088),13,False
"This movie is such a fined instances of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard crap and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0184),13,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard baloney and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0394),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0541),25,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard bullshit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0469),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard crappy and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0422),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard dammit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0537),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard damnit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0474),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard goddamnit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0492),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard horseshit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0523),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard shit and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0502),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard shite and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0483),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard shitty and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0451),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard turd and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0460),25,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1043),29,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forgot that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0488),29,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forgotten that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0448),29,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Overlook that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0597),29,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever enjoyed the metal bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1024),32,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever loved the metal bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0855),32,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever wished the metal bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0740),32,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metallic bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1113),39,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metallurgical bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0588),39,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metallurgy bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1133),39,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.0969),39,False
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the mineral bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1154),39,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1177),39,True
"This movie is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the mittal bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1176),39,False
"This cinema is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1177),49,False
"This cinematic is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.3276),49,True
"This cinematographic is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.4674),49,True
"This cinematography is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1990),49,False
"This film is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1139),49,False
"This filmmaking is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1454),49,False
"This films is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1311),49,False
"This flick is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.2027),49,False
"This kino is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.4655),49,False
"This movies is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboard bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.1072),49,False
"This cinematographic is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.4817),51,True
"This cinematographic is such a fined cases of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keypad bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.3968),51,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.5372),54,True
"This cinematographic is such a fined cases of the greatness that is 80's entertainments. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.3585),54,False
"This cinematographic is such a fined cases of the greatness that is 80's recreational. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.5289),54,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the bestest. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.5674),59,True
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the better. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8844),59,True
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the finest. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.4810),59,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the nicest. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8336),59,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9232),59,True
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is appalling and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8718),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is atrocious and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8811),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is awful and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9163),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is dreadful and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9160),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is frightening and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9285),74,True
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is frightful and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9084),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is ghastly and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8792),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is grisly and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8713),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is gruesome and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8932),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is hideous and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9320),74,True
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrendous and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8819),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrific and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9237),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is horrifying and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.8771),74,False
"This cinematographic is such a fined cases of the greatness that is 80's amusement. Oh don't get me wrong, most of the music back then sucked. I only ever liked the minerals bands from the 80s. Bands that had some balls. Forgets that whiny keyboards bollocks and all that 'life is terrible and I want to die' garbage. But the movies from the 80's are the optimum. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!",tensor(0.9173),74,False
